test,comparison,year,level,share_disadvantaged_pct,share_not_disadvantaged_pct,odds_disadvantaged,odds_not_disadvantaged,odds_ratio_not_over_disadvantaged
NAEP grade 8 mathematics,all California students (NAEP sample),2017,at or above NAEP Basic,49.03,79.1,0.9619,3.7847,3.9346
NAEP grade 8 mathematics,all California students (NAEP sample),2017,"at NAEP Proficient, not Advanced",12.37,28.89,0.1412,0.4063,2.8775
NAEP grade 8 mathematics,all California students (NAEP sample),2017,"at NAEP Basic, not Proficient",34.34,31.76,0.523,0.4654,0.8899
NAEP grade 8 mathematics,all California students (NAEP sample),2017,below NAEP Basic,50.97,20.9,1.0396,0.2642,0.2541
NAEP grade 8 mathematics,all California students (NAEP sample),2019,at NAEP Advanced,3.33,20.0,0.0344,0.25,7.2674
NAEP grade 8 mathematics,all California students (NAEP sample),2019,at or above NAEP Proficient,15.9,49.69,0.1891,0.9877,5.2232
NAEP grade 8 mathematics,all California students (NAEP sample),2019,at or above NAEP Basic,49.11,80.98,0.965,4.2576,4.412
NAEP grade 8 mathematics,all California students (NAEP sample),2019,"at NAEP Proficient, not Advanced",12.58,29.7,0.1439,0.4225,2.9361
NAEP grade 8 mathematics,all California students (NAEP sample),2019,"at NAEP Basic, not Proficient",33.21,31.29,0.4972,0.4554,0.9159
NAEP grade 8 mathematics,all California students (NAEP sample),2019,below NAEP Basic,50.89,19.02,1.0362,0.2349,0.2267
NAEP grade 8 mathematics,all California students (NAEP sample),2022,at NAEP Advanced,1.94,16.47,0.0198,0.1972,9.9596
NAEP grade 8 mathematics,all California students (NAEP sample),2022,at or above NAEP Proficient,11.28,40.99,0.1271,0.6946,5.465
NAEP grade 8 mathematics,all California students (NAEP sample),2022,at or above NAEP Basic,41.78,76.92,0.7176,3.3328,4.6444
NAEP grade 8 mathematics,all California students (NAEP sample),2022,"at NAEP Proficient, not Advanced",9.34,24.53,0.103,0.325,3.1553
NAEP grade 8 mathematics,all California students (NAEP sample),2022,"at NAEP Basic, not Proficient",30.5,35.93,0.4388,0.5608,1.278
NAEP grade 8 mathematics,all California students (NAEP sample),2022,below NAEP Basic,58.22,23.08,1.3935,0.3001,0.2154
NAEP grade 8 mathematics,all California students (NAEP sample),2024,at NAEP Advanced,2.82,17.65,0.029,0.2143,7.3897
NAEP grade 8 mathematics,all California students (NAEP sample),2024,at or above NAEP Proficient,12.63,44.93,0.1446,0.8159,5.6425
NAEP grade 8 mathematics,all California students (NAEP sample),2024,at or above NAEP Basic,40.85,75.3,0.6906,3.0486,4.4144
NAEP grade 8 mathematics,all California students (NAEP sample),2024,"at NAEP Proficient, not Advanced",9.81,27.28,0.1088,0.3751,3.4476
NAEP grade 8 mathematics,all California students (NAEP sample),2024,"at NAEP Basic, not Proficient",28.22,30.37,0.3931,0.4362,1.1096
NAEP grade 8 mathematics,all California students (NAEP sample),2024,below NAEP Basic,59.15,24.7,1.448,0.328,0.2265
