year,subject,grade,percentile,scale_score
2023,ela,8,90,2696
2023,ela,8,99,2794
2024,ela,8,1,2290
2024,ela,8,10,2390
2024,ela,8,20,2446
2024,ela,8,30,2487
2024,ela,8,40,2522
2024,ela,8,50,2554
2024,ela,8,60,2585
2024,ela,8,70,2617
2024,ela,8,80,2651
2024,ela,8,90,2696
2024,ela,8,99,2793
2025,ela,8,1,2290
2025,ela,8,10,2394
2025,ela,8,20,2452
2025,ela,8,30,2493
2025,ela,8,40,2528
2025,ela,8,50,2560
2025,ela,8,60,2591
2025,ela,8,70,2623
2025,ela,8,80,2658
2025,ela,8,90,2703
2025,ela,8,99,2802
2015,ela,11,1,2334
2015,ela,11,10,2438
2015,ela,11,20,2493
2015,ela,11,30,2534
2015,ela,11,40,2569
2015,ela,11,50,2600
2015,ela,11,60,2629
2015,ela,11,70,2658
2015,ela,11,80,2690
2015,ela,11,90,2730
2015,ela,11,99,2795
2016,ela,11,1,2340
2016,ela,11,10,2443
2016,ela,11,20,2499
2016,ela,11,30,2543
2016,ela,11,40,2579
2016,ela,11,50,2611
2016,ela,11,60,2640
2016,ela,11,70,2668
2016,ela,11,80,2700
2016,ela,11,90,2740
2016,ela,11,99,2795
2017,ela,11,1,2331
2017,ela,11,10,2438
2017,ela,11,20,2498
2017,ela,11,30,2544
2017,ela,11,40,2582
2017,ela,11,50,2614
2017,ela,11,60,2644
2017,ela,11,70,2674
2017,ela,11,80,2707
2017,ela,11,90,2749
2017,ela,11,99,2795
2018,ela,11,1,2318
2018,ela,11,10,2424
2018,ela,11,20,2483
2018,ela,11,30,2529
2018,ela,11,40,2568
2018,ela,11,50,2602
2018,ela,11,60,2634
2018,ela,11,70,2667
2018,ela,11,80,2701
2018,ela,11,90,2745
2018,ela,11,99,2795
2019,ela,11,1,2323
2019,ela,11,10,2427
2019,ela,11,20,2486
2019,ela,11,30,2533
2019,ela,11,40,2572
2019,ela,11,50,2607
2019,ela,11,60,2640
2019,ela,11,70,2672
2019,ela,11,80,2706
2019,ela,11,90,2750
2019,ela,11,99,2795
2022,ela,11,1,2300
2022,ela,11,10,2411
2022,ela,11,20,2474
2022,ela,11,30,2523
2022,ela,11,40,2563
2022,ela,11,50,2599
2022,ela,11,60,2633
2022,ela,11,70,2666
2022,ela,11,80,2702
2022,ela,11,90,2748
2022,ela,11,99,2854
2023,ela,11,1,2300
2023,ela,11,10,2410
2023,ela,11,20,2474
2023,ela,11,30,2524
2023,ela,11,40,2565
2023,ela,11,50,2602
2023,ela,11,60,2635
2023,ela,11,70,2668
2023,ela,11,80,2703
2023,ela,11,90,2749
2023,ela,11,99,2852
2024,ela,11,1,2300
2024,ela,11,10,2408
2024,ela,11,20,2474
2024,ela,11,30,2525
2024,ela,11,40,2566
2024,ela,11,50,2602
2024,ela,11,60,2636
2024,ela,11,70,2669
2024,ela,11,80,2704
2024,ela,11,90,2749
2024,ela,11,99,2851
2025,ela,11,1,2300
2025,ela,11,10,2411
2025,ela,11,20,2479
2025,ela,11,30,2530
2025,ela,11,40,2571
2025,ela,11,50,2607
2025,ela,11,60,2640
2025,ela,11,70,2673
2025,ela,11,80,2708
2025,ela,11,90,2753
2025,ela,11,99,2857
2015,math,3,1,2212
2015,math,3,10,2315
2015,math,3,20,2350
2015,math,3,30,2374
2015,math,3,40,2395
2015,math,3,50,2415
2015,math,3,60,2436
2015,math,3,70,2457
2015,math,3,80,2482
2015,math,3,90,2516
2015,math,3,99,2603
2016,math,3,1,2212
2016,math,3,10,2321
2016,math,3,20,2358
2016,math,3,30,2383
2016,math,3,40,2405
2016,math,3,50,2426
2016,math,3,60,2447
2016,math,3,70,2468
2016,math,3,80,2494
2016,math,3,90,2529
2016,math,3,99,2613
2017,math,3,1,2219
2017,math,3,10,2322
2017,math,3,20,2359
2017,math,3,30,2385
2017,math,3,40,2408
2017,math,3,50,2429
2017,math,3,60,2450
2017,math,3,70,2473
2017,math,3,80,2498
2017,math,3,90,2535
2017,math,3,99,2621
2018,math,3,1,2218
